date,hour,bin_id,zone,fill_percent,type
2024-10-01,0,BIN_001,Malviya Nagar,5.08,residential
2024-10-01,1,BIN_001,Malviya Nagar,5.18,residential
2024-10-01,2,BIN_001,Malviya Nagar,5.34,residential
2024-10-01,3,BIN_001,Malviya Nagar,5.49,residential
2024-10-01,4,BIN_001,Malviya Nagar,5.76,residential
2024-10-01,5,BIN_001,Malviya Nagar,6.05,residential
2024-10-01,6,BIN_001,Malviya Nagar,6.52,residential
2024-10-01,7,BIN_001,Malviya Nagar,7.03,residential
2024-10-01,8,BIN_001,Malviya Nagar,7.65,residential
2024-10-01,9,BIN_001,Malviya Nagar,8.55,residential
2024-10-01,10,BIN_001,Malviya Nagar,9.79,residential
2024-10-01,11,BIN_001,Malviya Nagar,11.15,residential
2024-10-01,12,BIN_001,Malviya Nagar,12.98,residential
2024-10-01,13,BIN_001,Malviya Nagar,15.11,residential
2024-10-01,14,BIN_001,Malviya Nagar,17.53,residential
2024-10-01,15,BIN_001,Malviya Nagar,20.47,residential
2024-10-01,16,BIN_001,Malviya Nagar,23.46,residential
2024-10-01,17,BIN_001,Malviya Nagar,27.23,residential
2024-10-01,18,BIN_001,Malviya Nagar,30.5,residential
2024-10-01,19,BIN_001,Malviya Nagar,35.11,residential
2024-10-01,20,BIN_001,Malviya Nagar,39.45,residential
2024-10-01,21,BIN_001,Malviya Nagar,44.2,residential
2024-10-01,22,BIN_001,Malviya Nagar,49.12,residential
2024-10-01,23,BIN_001,Malviya Nagar,54.04,residential
2024-10-01,0,BIN_002,Malviya Nagar,5.07,residential
2024-10-01,1,BIN_002,Malviya Nagar,5.16,residential
2024-10-01,2,BIN_002,Malviya Nagar,5.3,residential
2024-10-01,3,BIN_002,Malviya Nagar,5.47,residential
2024-10-01,4,BIN_002,Malviya Nagar,5.69,residential
2024-10-01,5,BIN_002,Malviya Nagar,6.04,residential
2024-10-01,6,BIN_002,Malviya Nagar,6.48,residential
2024-10-01,7,BIN_002,Malviya Nagar,6.99,residential
2024-10-01,8,BIN_002,Malviya Nagar,7.66,residential
2024-10-01,9,BIN_002,Malviya Nagar,8.55,residential
2024-10-01,10,BIN_002,Malviya Nagar,9.67,residential
2024-10-01,11,BIN_002,Malviya Nagar,11.03,residential
2024-10-01,12,BIN_002,Malviya Nagar,12.6,residential
2024-10-01,13,BIN_002,Malviya Nagar,14.68,residential
2024-10-01,14,BIN_002,Malviya Nagar,17.51,residential
2024-10-01,15,BIN_002,Malviya Nagar,20.54,residential
2024-10-01,16,BIN_002,Malviya Nagar,24.15,residential
2024-10-01,17,BIN_002,Malviya Nagar,27.83,residential
2024-10-01,18,BIN_002,Malviya Nagar,31.44,residential
2024-10-01,19,BIN_002,Malviya Nagar,35.59,residential
2024-10-01,20,BIN_002,Malviya Nagar,39.24,residential
2024-10-01,21,BIN_002,Malviya Nagar,43.41,residential
2024-10-01,22,BIN_002,Malviya Nagar,47.9,residential
2024-10-01,23,BIN_002,Malviya Nagar,52.69,residential
2024-10-01,0,BIN_003,Malviya Nagar,5.08,residential
2024-10-01,1,BIN_003,Malviya Nagar,5.18,residential
2024-10-01,2,BIN_003,Malviya Nagar,5.31,residential
2024-10-01,3,BIN_003,Malviya Nagar,5.47,residential
2024-10-01,4,BIN_003,Malviya Nagar,5.7,residential
2024-10-01,5,BIN_003,Malviya Nagar,6.06,residential
2024-10-01,6,BIN_003,Malviya Nagar,6.51,residential
2024-10-01,7,BIN_003,Malviya Nagar,7.0,residential
2024-10-01,8,BIN_003,Malviya Nagar,7.62,residential
2024-10-01,9,BIN_003,Malviya Nagar,8.54,residential
2024-10-01,10,BIN_003,Malviya Nagar,9.74,residential
2024-10-01,11,BIN_003,Malviya Nagar,11.12,residential
2024-10-01,12,BIN_003,Malviya Nagar,13.06,residential
2024-10-01,13,BIN_003,Malviya Nagar,15.34,residential
2024-10-01,14,BIN_003,Malviya Nagar,17.97,residential
2024-10-01,15,BIN_003,Malviya Nagar,20.61,residential
2024-10-01,16,BIN_003,Malviya Nagar,23.55,residential
2024-10-01,17,BIN_003,Malviya Nagar,26.59,residential
2024-10-01,18,BIN_003,Malviya Nagar,30.14,residential
2024-10-01,19,BIN_003,Malviya Nagar,34.2,residential
2024-10-01,20,BIN_003,Malviya Nagar,38.94,residential
2024-10-01,21,BIN_003,Malviya Nagar,42.82,residential
2024-10-01,22,BIN_003,Malviya Nagar,47.29,residential
2024-10-01,23,BIN_003,Malviya Nagar,52.16,residential
2024-10-01,0,BIN_004,Malviya Nagar,5.07,residential
2024-10-01,1,BIN_004,Malviya Nagar,5.17,residential
2024-10-01,2,BIN_004,Malviya Nagar,5.3,residential
2024-10-01,3,BIN_004,Malviya Nagar,5.47,residential
2024-10-01,4,BIN_004,Malviya Nagar,5.72,residential
2024-10-01,5,BIN_004,Malviya Nagar,5.99,residential
2024-10-01,6,BIN_004,Malviya Nagar,6.43,residential
2024-10-01,7,BIN_004,Malviya Nagar,7.02,residential
2024-10-01,8,BIN_004,Malviya Nagar,7.65,residential
2024-10-01,9,BIN_004,Malviya Nagar,8.54,residential
2024-10-01,10,BIN_004,Malviya Nagar,9.58,residential
2024-10-01,11,BIN_004,Malviya Nagar,11.23,residential
